castaway_id,season,total_challenges_competed,total_won,win_percentage
US0578,39,13,4,0.3076923076923077
US0579,39,13,4,0.3076923076923077
US0580,39,14,8,0.5714285714285714
US0581,39,14,8,0.5714285714285714
US0582,39,15,8,0.5333333333333333
US0583,39,17,3,0.17647058823529413
US0584,39,19,8,0.42105263157894735
US0585,39,19,10,0.5263157894736842
US0586,39,20,4,0.2
US0587,39,21,10,0.47619047619047616
US0588,39,21,8,0.38095238095238093
US0589,39,21,5,0.23809523809523808
US0590,39,20,11,0.55
US0027,40,4,1,0.25
US0048,40,6,1,0.16666666666666666
US0055,40,8,2,0.25
US0112,40,7,4,0.5714285714285714
US0166,40,5,1,0.2
US0197,40,9,3,0.3333333333333333
US0202,40,11,5,0.45454545454545453
US0274,40,11,4,0.36363636363636365
US0353,40,16,8,0.5
US0371,40,17,8,0.47058823529411764
US0386,40,19,6,0.3157894736842105
US0414,40,21,7,0.3333333333333333
US0424,40,21,9,0.42857142857142855
US0433,40,18,5,0.2777777777777778
US0442,40,6,2,0.3333333333333333
US0478,40,21,7,0.3333333333333333
US0498,40,13,5,0.38461538461538464
US0516,40,20,7,0.35
US0536,40,11,5,0.45454545454545453
US0556,40,19,8,0.42105263157894735
US0591,41,2,0,0
US0592,41,2,1,0.5
US0593,41,19,5,0.2631578947368421
US0594,41,19,9,0.47368421052631576
US0595,41,7,3,0.42857142857142855
US0596,41,18,9,0.5
US0597,41,19,7,0.3684210526315789
US0598,41,12,8,0.6666666666666666
US0599,41,17,9,0.5294117647058824
US0600,41,12,6,0.5
US0601,41,19,9,0.47368421052631576
US0602,41,4,2,0.5
US0603,41,6,3,0.5
US0604,41,11,4,0.36363636363636365
US0605,41,9,6,0.6666666666666666
US0606,41,14,3,0.21428571428571427
US0607,41,3,0,0
US0608,41,15,5,0.3333333333333333
US0609,42,11,4,0.36363636363636365
US0610,42,7,3,0.42857142857142855
US0611,42,15,5,0.3333333333333333
US0612,42,14,5,0.35714285714285715
US0613,42,1,0,0
US0614,42,4,2,0.5
US0615,42,19,9,0.47368421052631576
US0616,42,18,9,0.5
US0617,42,9,4,0.4444444444444444
US0618,42,3,1,0.3333333333333333
US0619,42,19,7,0.3684210526315789
US0620,42,19,5,0.2631578947368421
US0621,42,17,6,0.35294117647058826
US0622,42,12,5,0.4166666666666667
US0623,42,19,5,0.2631578947368421
US0624,42,6,3,0.5
US0625,42,12,9,0.75
US0626,42,2,1,0.5
US0627,43,18,7,0.3888888888888889
US0628,43,16,7,0.4375
US0629,43,9,6,0.6666666666666666
US0630,43,8,4,0.5
US0631,43,7,3,0.42857142857142855
US0632,43,11,3,0.2727272727272727
US0633,43,10,5,0.5
US0634,43,18,8,0.4444444444444444
US0635,43,3,2,0.6666666666666666
US0636,43,17,7,0.4117647058823529
US0637,43,6,3,0.5
US0638,43,18,7,0.3888888888888889
